 A | B | C | D | E | F | G | H | 
A |           F     
B |                 
C |                 
D |                 
E |                 
F |       A         
G |                 
H |                 
 A | B | C | D | E | F | G | H | 
A | N A A N A N A A 
B | A A A A A A A A 
C | A A A A A A N A 
D | A A A N A A A A 
E | A A A A A A A A 
F | A A A A A A A A 
G | A A A A A A A A 
H | A A A A A A A A 
 A | B | C | D | E | F | G | H | 
A |                 
B |                 
C |       A         
D |                 
E |                 
F |                 
G |                 
H |                 
 A | B | C | D | E | F | G | H | 
A | A A A A A A A N 
B | A N A A N A A A 
C | A A A A A A A A 
D | A A A N A A A N 
E | A A A A A A A A 
F | A A A A A A A A 
G | A A A A A A A A 
H | A A A A A A A A 
