 A | B | C | D | E | F | G | H | 
A |       A         
B |                 
C |                 
D |                 
E |                 
F |                 
G |                 
H |                 
 A | B | C | D | E | F | G | H | 
A | N A N A A A A A 
B | A A A A A A A A 
C | A A A A A A A A 
D | A A A A A A A A 
E | A A A A A A A A 
F | A A A A A A A A 
G | A A A A A A A A 
H | A A A A A A A A 
 A | B | C | D | E | F | G | H | 
A |   F             
B | A               
C |                 
D |                 
E |                 
F |                 
G |                 
H |                 
 A | B | C | D | E | F | G | H | 
A | A N A A A A A N 
B | A A A A A A A A 
C | A A A A A A A A 
D | A A A A A A A A 
E | A A A A A A A A 
F | A A A A A A A A 
G | A A A A A A A A 
H | A A A A A A A A 
