 A | B | C | D | E | F | G | H | 
A |                 
B |                 
C |                 
D |         A       
E |                 
F |                 
G |                 
H |                 
 A | B | C | D | E | F | G | H | 
A | A A N A A A N A 
B | A A A A N A A A 
C | A A N A A A A A 
D | N A A A A A A A 
E | A A A A A A A A 
F | A A A A A A A A 
G | A A A A A A A A 
H | A A A A A A A A 
 A | B | C | D | E | F | G | H | 
A |                 
B |                 
C |           A     
D |                 
E |                 
F |                 
G |                 
H |                 
 A | B | C | D | E | F | G | H | 
A | A A A N A A A N 
B | A A A A A A A A 
C | N A A A A A A A 
D | A A A A A A A A 
E | A N A A A A A N 
F | A A A A A A A A 
G | A A A A A A A A 
H | A A A A A A A A 
